date	cpi	cpi_updated	var5	moYear
15-Jan-11	220.223	97.9178	40558	15jan2011
15-Feb-11	221.309	98.4007	40589	15feb2011
15-Mar-11	223.467	99.3602	40617	15mar2011
15-Apr-11	224.906	100	40648	15apr2011
15-May-11	225.964	100.47	40678	15may2011
15-Jun-11	225.722	100.363	40709	15jun2011
15-Jul-11	225.922	100.452	40739	15jul2011
15-Aug-11	226.545	100.729	40770	15aug2011
15-Sep-11	226.889	100.882	40801	15sep2011
15-Oct-11	226.421	100.674	40831	15oct2011
15-Nov-11	226.23	100.589	40862	15nov2011
15-Dec-11	225.672	100.341	40892	15dec2011
15-Jan-12	226.665	100.782	40923	15jan2012
15-Feb-12	227.663	101.226	40954	15feb2012
15-Mar-12	229.392	101.995	40983	15mar2012
15-Apr-12	230.085	102.303	41014	15apr2012
15-May-12	229.815	102.183	41044	15may2012
15-Jun-12	229.478	102.033	41075	15jun2012
15-Jul-12	229.104	101.867	41105	15jul2012
15-Aug-12	230.379	102.433	41136	15aug2012
15-Sep-12	231.407	102.891	41167	15sep2012
15-Oct-12	231.317	102.851	41197	15oct2012
15-Nov-12	230.221	102.363	41228	15nov2012
15-Dec-12	229.601	102.088	41258	15dec2012
15-Jan-13	230.28	102.389	41289	15jan2013
15-Feb-13	232.166	103.228	41320	15feb2013
15-Mar-13	232.773	103.498	41348	15mar2013
15-Apr-13	232.531	103.39	41379	15apr2013
15-May-13	232.945	103.574	41409	15may2013
15-Jun-13	233.504	103.823	41440	15jun2013
15-Jul-13	233.596	103.864	41470	15jul2013
15-Aug-13	233.877	103.989	41501	15aug2013
15-Sep-13	234.149	104.11	41532	15sep2013
15-Oct-13	233.546	103.842	41562	15oct2013
15-Nov-13	233.069	103.63	41593	15nov2013
15-Dec-13	233.049	103.621	41623	15dec2013
15-Jan-14	233.916	104.006	41654	15jan2014
15-Feb-14	234.781	104.391	41685	15feb2014
15-Mar-14	236.293	105.063	41713	15mar2014
15-Apr-14	237.072	105.409	41744	15apr2014
15-May-14	237.9	105.778	41774	15may2014
15-Jun-14	238.343	105.974	41805	15jun2014
15-Jul-14	238.25	105.933	41835	15jul2014
15-Aug-14	237.852	105.756	41866	15aug2014
15-Sep-14	238.031	105.836	41897	15sep2014
15-Oct-14	237.433	105.57	41927	15oct2014
15-Nov-14	236.151	105	41958	15nov2014
15-Dec-14	234.812	104.405	41988	15dec2014
15-Jan-15	233.707	103.913	42019	15jan2015
15-Feb-15	234.722	104.364	42050	15feb2015
15-Mar-15	236.119	104.986	42078	15mar2015
15-Apr-15	236.599	105.199	42109	15apr2015
15-May-15	237.805	105.735	42139	15may2015
15-Jun-15	238.638	106.106	42170	15jun2015
15-Jul-15	238.654	106.113	42200	15jul2015
15-Aug-15	238.316	105.962	42231	15aug2015
15-Sep-15	237.945	105.798	42262	15sep2015
