material,freq
"BEANS, BLACK BAG-50 KG",35
"BEANS, GARBANZO, KABULI BAG-50 KG",16
"BEANS, GREAT NORTHERN BAG-50 KG",10
"BEANS, KIDNEY, DARK RED BAG-50 KG",25
"BEANS, PINTO BAG-50 KG",205
"BEANS, SMALL RED BAG-50 KG",11
BULGUR  BAG-50 KG,67
"BULGUR, SOY-FORT BAG-50 KG",79
"CORN, YELLOW BAG-50 KG",7
"CORN, YELLOW BULK",5
CORN-SOY BLEND BAG-25 KG,38
CORN-SOY BLEND BAG-HP-25 KG,226
CORN-SOY BLEND PLUS BAG-HP-25 KG,267
CORNMEAL BAG-HP-25 KG,231
"CORNMEAL, SOY-FORT BAG-HP-25 KG",25
CSB SUPER CEREAL PLUS BOX-10/1.5 KG,8
"EMERGENCY FD, RUSF POUCH-135/100 G",1
"EMERGNCY FD, A20 PASTE POUCH-18-9/50 G",2
"EMERGNCY FD, A28 RICE BAR-24-9/55 G",2
"EMERGNCY FD, A29 WHEAT BAR-24-9/55 G",2
"EMERGNCY FD, RUSF POUCH-150/100 G",21
"EMERGNCY FD, RUTF SPRD POUCH-150/92 G",60
"FLOUR, ALL PURPOSE BAG-50 KG",105
"FLOUR, BREAD BAG-50 KG",22
LENTILS BAG-50 KG,369
"OIL, SOYBEAN, CRUDE, DEGUMMED BULK",29
"OIL, SUNFLOWERSEED CAN-6/4 L",2
"OIL, SUNFLOWERSEED PAIL-20 L",7
"OIL, SUNFLWRSD BOTTLE, PLS-6/4 L 670-719",2
"OIL, SUNFLWRSD BOTTLE, PLS-6/4 L 720-799",3
"OIL, VEGETABLE BOTTLE, PLS-6/4 L 670-719",82
"OIL, VEGETABLE BOTTLE, PLS-6/4 L 720-799",22
"OIL, VEGETABLE BOTTLE, PLS-6/4 L 800-899",44
"OIL, VEGETABLE CAN-6/4 L",424
"OIL, VEGETABLE DRUM-208 L",15
"OIL, VEGETABLE PAIL-20 L",51
"PEAS, GREEN, SPLIT BAG-50 KG",50
"PEAS, GREEN, WHOLE BAG-50 KG",22
"PEAS, YELLOW, SPLIT BAG-50 KG",960
"PEAS, YELLOW, WHOLE BAG-50 KG",60
"PEAS, YELLOW, WHOLE PKG-6/4 LB",4
"POTATO FLAKES, DEHYDRATED BAG-20 KG",15
"POTATO GRANULES, DEHY POUCH-10/1.36 KG",3
"POTATO GRANULES, DEHYDRATED BAG-10 KG",2
"RICE, 2/4 LG, H-MLD BAG-25 KG",10
"RICE, 2/7 LG, W-MLD BAG-50 KG",103
"RICE, 2/7 LG, W-MLD PKG-6/4 LB",2
"RICE, 2/7 LG, W-MLD, PRBL BAG-50 KG",28
"RICE, 3/15 LG, W-MLD BAG-50 KG",4
"RICE, 3/15 MG, W-MLD BAG-50 KG",1
"RICE, 5/20 LG, W-MLD BAG-50 KG",168
"RICE, 5/20 LG, W-MLD, FORT BAG-50 KG",3
"RICE, 5/20 LG, W-MLD, PRBL BAG-50 KG",9
"RICE, 5/20 MG, W-MLD BAG-50 KG",16
"RICE, MILLED BULK",17
"SALMON, KETA CAN-24/14.75 OZ",1
"SALMON, PINK CAN-24/14.75 OZ",2
SORGHUM BAG-50 KG,41
SORGHUM BULK,144
"SOY FLOUR, DEFATTED BAG-50 LB",1
"SOY PROTEIN, ISOLATE BAG-20 KG",1
SOYBEAN MEAL BULK,25
"SOYBEANS, YELLOW BAG-50 KG",3
"WHEAT, DARK NORTHERN SPRING BULK",2
"WHEAT, HARD RED SPRING BAG-50 KG",1
"WHEAT, HARD RED SPRING BULK",4
"WHEAT, HARD RED WINTER BAG-50 KG",10
"WHEAT, HARD RED WINTER BULK",208
"WHEAT, NORTHERN SPRING BULK",6
"WHEAT, SOFT WHITE BAG-50 KG",4
"WHEAT, SOFT WHITE BULK",50
WHEAT-SOY BLEND BAG-25 KG,15
WHEAT-SOY BLEND BAG-HP-25 KG,11
